,context,triplets
468,"Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    ",<triplet> sale <subj> sell <obj> cause
469,"Earnings  were hurt by disposal of operations in its restructuring, Reed said. ",<triplet> disposal <subj> hurt <obj> cause
470,"After meeting with Prime Minister Benjamin Netanyahu, Blinken reiterated support for Israel's right to defend itself against rocket attacks by Gaza's Hamas rulers, adding that they must benefit from reconstruction aid.",<triplet> support <subj> aid <obj> enable
471,"The debt, estimated at $4.7 billion, could mortgage the cellular company's future earning power in order to placate some LIN holders in the short term.    ",<triplet> mortgage <subj> placate <obj> cause
472,The United Nations has imposed an arms embargo on certain countries in an effort to prevent the proliferation of weapons of mass destruction.,<triplet> Arms embargo <subj> Proliferation <obj> prevent
473,"The White House yesterday disclosed that Kuwait's ousted government has formally asked the U.S. to enforce the total trade embargo the United Nations has imposed on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.   ",<triplet> enforce <subj> begin <obj> enable
474,"But that option is growing less and less likely as thousands of American, British, Egyptian, Syrian and Moroccan forces assemble in and around Saudi Arabia to protect the kingdom. ",<triplet> assemble <subj> growing <obj> cause
475,"The sale, at a higher price than some analysts had expected, helps the food and tobacco giant raise funds to pay debt and boosts Nestle's 7% share of the U.S. candy market to about 12%.    ",<triplet> price <subj> boosts <obj> cause
476,The government passed a law to increase access to clean energy sources and reduce air pollution.,<triplet> passed <subj> reduce <obj> intend
477,"The government is introducing a new law to protect the rights of people with disabilities, in an effort to ensure equal access to services and opportunities.",<triplet> introducing <subj> ensure <obj> intend
478,The government passed a law to protect the rights of victims of discrimination in employment and ensure their access to services.,<triplet> passed <subj> ensure <obj> intend
479,The United Nations has imposed an arms embargo on Somalia in an effort to prevent further violence in the region.,<triplet> Arms embargo <subj> Violence <obj> prevent
480,The government has implemented a series of measures to prevent the proliferation of weapons of mass destruction.,<triplet> measures <subj> proliferation <obj> prevent
481,The government has announced a new policy that will provide free healthcare to all citizens.,<triplet> policy <subj> provide <obj> enable
482,The House of Representatives has passed a resolution that would increase the minimum wage to $15 an hour.,<triplet> resolution <subj> increase <obj> enable
483,The government passed a law to increase access to clean water in an effort to improve public health.,<triplet> passed <subj> improve <obj> intend
484,"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    ",<triplet> transition <subj> exodus <obj> prevent
485,The government has implemented a series of measures to prevent the spread of counterfeit goods.,<triplet> measures <subj> counterfeit <obj> prevent
486,-- Stannous Fluoride Toothpaste Stannous Fluoride (SnF2) helps to protect your gums against bacterial plaque.,<triplet> SnF2 <subj> plaque <obj> prevent
487,"The government has taken steps to prevent the spread of terrorism, including introducing new laws to combat terrorism.",<triplet> taken <subj> Terrorism <obj> prevent
488,"The government passed a law to increase funding for research and development, in an effort to promote innovation.",<triplet> passed <subj> promote <obj> intend
489,The United Nations has passed a resolution calling for an immediate ceasefire in the conflict between Israel and Palestine.,<triplet> resolution <subj> ceasefire <obj> enable
490,The United States has imposed sanctions on Venezuela in an effort to prevent the country from destabilizing the region.,<triplet> Sanctions <subj> Destabilizing <obj> prevent
491,The United States and its allies have imposed a naval blockade on Iraq to prevent Saddam Hussein from importing weapons and military supplies.,<triplet> naval <subj> importing <obj> prevent
492,"The government passed a law to increase access to healthcare, in an effort to reduce health disparities and improve public health.",<triplet> increase <subj> reduce <obj> intend
